GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.service,SubscriberService,131,0,0,0,25,0,13,0,13,0
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.service,SubscriptionService,80,0,0,0,14,0,8,0,8,0
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.factory,SubscriptionResponseDtoFactory,0,32,0,0,0,10,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.factory,SubscriberFactory,0,9,0,0,0,2,0,2,0,2
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.factory,SubscriberResponseDtoFactory,0,74,0,0,0,25,0,9,0,9
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.factory,SubscriptionFactory,0,20,0,0,0,5,0,2,0,2
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscription,SubscriptionDatesCommandDto,0,18,0,0,0,7,0,4,0,4
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscription,SubscriptionResponseDto,0,45,0,0,0,16,0,8,0,8
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscription,SubscriptionContentIdentifierCommandDto,0,12,0,0,0,5,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscription,NewSubscriptionCommandDto,0,30,0,0,0,11,0,6,0,6
Subscription Manager,uk.co.zodiac2000.subscriptionmanager,SubscriptionManagerApplication,8,0,0,0,3,0,2,0,2,0
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,SubscriberNameCommandDto,4,19,0,0,2,7,1,4,1,4
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,NewSubscriberCommandDto,0,12,0,0,0,5,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,SamlIdentifierRequestDto,0,15,0,0,0,6,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,SubscriberResponseDto,0,27,0,0,0,10,0,5,0,5
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,OidcIdentifierCommandDto,0,15,0,0,0,6,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,OidcIdentifiersCommandDto,0,12,0,0,0,5,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,SamlIdentifiersCommandDto,0,12,0,0,0,5,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,OidcIdentifierResponseDto,0,15,0,0,0,6,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,SamlIdentifierResponseDto,0,15,0,0,0,6,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,OidcIdentifierRequestDto,0,15,0,0,0,6,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.transfer.subscriber,SamlIdentifierCommandDto,0,15,0,0,0,6,0,3,0,3
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.configuration,ClockConfiguration,5,0,0,0,2,0,2,0,2,0
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.constraint.validator,ValidDateStringValidator,0,20,0,0,0,7,0,4,0,4
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.constraint.validator,DoesNotExistValidator,0,109,0,8,0,27,0,10,0,6
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.constraint.validator,ValidDateRangeValidator,0,94,0,6,0,21,0,11,0,8
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.api,SubscriptionController,38,0,0,0,7,0,6,0,6,0
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.api,SubscriberController,65,0,2,0,14,0,8,0,7,0
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.domain.subscription,Subscription,7,172,0,18,3,30,2,24,2,15
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.domain.subscriber,OidcIdentifier,3,66,0,8,1,14,1,10,1,6
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.domain.subscriber,Subscriber,0,84,0,0,0,20,0,11,0,11
Subscription Manager,uk.co.zodiac2000.subscriptionmanager.domain.subscriber,SamlIdentifier,3,66,0,8,1,14,1,10,1,6
